来源,代码,名称,现价,涨幅,成交 (万元),场内份额 (万份),场内新增 (万份),T-2净值,净值日期,T-1估值,估值日期,T-1溢价率,实时估值,实时溢价率,相关标的,T-1指数涨幅,申购费,申购状态,赎回费,赎回状态,管托费,基金公司,操作,相关标的/业绩比较
商品市场,162411,华宝油气LOF,0.708,2.61%,4208.86,137917,-304,0.7003,25-05-12,0.7216,25-05-13,-1.88%,-,-,,,1.50%,限50,1.50%,开放赎回,1.20%,华宝基金,,标普石油天然气上游股票指数
亚洲市场,159529,标普消费ETF,1.622,4.17%,164221.55,40354,0,1.2424,25-05-12,1.2459,25-05-13,30.19%,-,-,标普500消费精选指数,0.38%,-,开放申购,-,开放赎回,0.70%,景顺长城,,
亚洲市场,159612,标普500ETF,1.895,1.45%,137254.28,34690,0,1.5621,25-05-12,1.5718,25-05-13,20.56%,会员,会员,标普500,0.72%,0.50%,暂停申购,0.5%,开放赎回,0.75%,国泰基金,,
亚洲市场,513030,德国ETF,1.857,0.60%,40364.94,72978,0,1.7838,25-05-12,1.7661,25-05-13,5.15%,会员,会员,德国DAX,0.31%,-,暂停申购,-,开放赎回,1.00%,华安基金,,
亚洲市场,159509,纳指科技ETF,1.536,3.64%,149430.44,633656,100,1.446,25-05-12,1.4794,25-05-13,3.83%,-,-,纳斯达克科技市值加权,2.41%,-,开放申购,-,开放赎回,1.00%,景顺长城,,
亚洲市场,513730,东南亚科技ETF,1.232,1.48%,8410.89,143336,-3800,1.1932,25-05-12,-,25-05-12,-,-,-,新交所泛东南亚科技指数,-,-,开放申购,-,开放赎回,0.50%,华泰柏瑞,,
亚洲市场,159941,纳指ETF,1.181,2.79%,141568.51,2180911,130,1.1335,25-05-12,1.1503,25-05-13,2.67%,会员,会员,纳斯达克100,1.58%,-,开放申购,-,开放赎回,1.00%,广发基金,,
亚洲市场,513100,纳指ETF,1.561,2.56%,100511.59,949911,0,1.507,25-05-12,1.5293,25-05-13,2.07%,会员,会员,纳斯达克100,1.58%,0.50%,暂停申购,0.50%,开放赎回,0.80%,国泰基金,,
亚洲市场,513050,中概互联网ETF,1.442,2.20%,258260.7,2456743,-30100,1.4532,25-05-12,1.4125,25-05-13,2.09%,-,-,中国互联网50,-2.70%,0.50%,开放申购,0.50%,开放赎回,0.80%,易方达,,
亚洲市场,162415,美国消费LOF,2.876,1.77%,14061.51,14512,-9,2.795,25-05-12,2.8271,25-05-13,1.73%,-,-,标普可选消费品精选版块指数,1.31%,1.20%,限100,1.50%,开放赎回,1.20%,华宝基金,,
亚洲市场,513220,中概互联ETF,1.277,2.00%,7454.15,21811,100,1.2861,25-05-12,1.2561,25-05-13,1.66%,-,-,中证全球中国互联网指数,-2.33%,-,开放申购,-,开放赎回,0.65%,招商基金,,
亚洲市场,159605,中概互联ETF,1.093,2.25%,60394.76,457449,0,1.1025,25-05-12,1.0763,25-05-13,1.55%,-,-,中证海外中国互联网30指数,-2.28%,-,开放申购,-,开放赎回,0.60%,广发基金,,
亚洲市场,159607,中概互联网ETF,1.089,2.35%,23421.2,120483,-3000,1.0975,25-05-12,1.0714,25-05-13,1.64%,-,-,中证海外中国互联网30指数,-2.28%,0.00%,开放申购,0.00%,开放赎回,0.60%,嘉实基金,,
亚洲市场,513300,纳斯达克ETF,1.938,2.70%,89057.46,459817,3750,1.8814,25-05-12,1.9092,25-05-13,1.51%,会员,会员,纳斯达克100,1.58%,0.50%,开放申购,0.50%,开放赎回,0.80%,华夏基金,,
亚洲市场,520580,新兴亚洲ETF,1.02,0.39%,5473.77,49198,0,1.0056,25-05-12,-,25-05-12,-,-,-,新交所新兴亚洲精选50指数,-,-,开放申购,-,开放赎回,0.50%,招商基金,,
亚洲市场,513290,纳指生物科技ETF,1.064,-0.47%,7966.47,113507,0,1.0721,25-05-12,1.0506,25-05-13,1.28%,-,-,纳斯达克生物科技,-1.91%,-,暂停申购,-,开放赎回,0.65%,汇添富,,
